month,price
1953-01-01,"$206,198.57 "
1953-02-01,"$206,976.68 "
1953-03-01,"$206,198.57 "
1953-04-01,"$206,677.45 "
1953-05-01,"$206,141.98 "
1953-06-01,"$205,372.79 "
1953-07-01,"$205,848.21 "
1953-08-01,"$205,319.80 "
1953-09-01,"$205,556.63 "
1953-10-01,"$204,795.31 "
1953-11-01,"$205,319.80 "
1953-12-01,"$205,319.80 "
1954-01-01,"$205,319.80 "
1954-02-01,"$205,556.63 "
1954-03-01,"$205,556.63 "
1954-04-01,"$206,085.92 "
1954-05-01,"$205,319.80 "
1954-06-01,"$205,556.63 "
1954-07-01,"$206,267.10 "
1954-08-01,"$206,740.64 "
1954-09-01,"$207,987.48 "
1954-10-01,"$207,749.77 "
1954-11-01,"$207,749.77 "
1954-12-01,"$208,766.46 "
1955-01-01,"$209,005.06 "
1955-02-01,"$208,289.26 "
1955-03-01,"$207,812.18 "
1955-04-01,"$206,619.18 "
1955-05-01,"$206,619.18 "
1955-06-01,"$207,573.58 "
1955-07-01,"$207,512.06 "
1955-08-01,"$208,700.61 "
1955-09-01,"$208,398.43 "
1955-10-01,"$208,161.60 "
1955-11-01,"$207,687.95 "
1955-12-01,"$207,987.48 "
1956-01-01,"$207,512.06 "
1956-02-01,"$206,799.05 "
1956-03-01,"$206,085.92 "
1956-04-01,"$204,372.50 "
1956-05-01,"$203,851.51 "
1956-06-01,"$204,460.42 "
1956-07-01,"$204,595.54 "
1956-08-01,"$206,745.00 "
1956-09-01,"$205,757.95 "
1956-10-01,"$204,778.19 "
1956-11-01,"$204,314.87 "
1956-12-01,"$203,805.42 "
1957-01-01,"$204,497.77 "
1957-02-01,"$205,599.40 "
1957-03-01,"$204,859.83 "
1957-04-01,"$205,495.49 "
1957-05-01,"$205,444.14 "
1957-06-01,"$204,032.89 "
1957-07-01,"$202,590.96 "
1957-08-01,"$202,590.96 "
1957-09-01,"$203,266.29 "
1957-10-01,"$204,391.73 "
1957-11-01,"$203,672.04 "
1957-12-01,"$203,447.83 "
1958-01-01,"$202,247.76 "
1958-02-01,"$202,247.76 "
1958-03-01,"$202,612.88 "
1958-04-01,"$202,352.67 "
1958-05-01,"$202,793.44 "
1958-06-01,"$201,691.36 "
1958-07-01,"$200,995.88 "
1958-08-01,"$201,470.93 "
1958-09-01,"$200,809.62 "
1958-10-01,"$200,589.18 "
1958-11-01,"$200,336.85 "
1958-12-01,"$201,250.49 "
1959-01-01,"$200,117.17 "
1959-02-01,"$200,589.18 "
1959-03-01,"$200,589.18 "
1959-04-01,"$199,897.49 "
1959-05-01,"$200,776.20 "
1959-06-01,"$200,086.25 "
1959-07-01,"$198,746.50 "
1959-08-01,"$198,528.33 "
1959-09-01,"$198,285.61 "
1959-10-01,"$198,694.61 "
1959-11-01,"$198,911.30 "
1959-12-01,"$198,044.55 "
